,How many Codes/ Laws,Law Passed,Year of First Adoption,1st Amendment Year,2nd Amendment Year,3rd Amendment Year,4th Amendment Year
Alabama,1,1,2012,N/A,N/A,N/A,N/A
Alaska,1,1,2003,2018,N/A,N/A,N/A
Arizona ,0,0,N/A,N/A,N/A,N/A,N/A
Arkansas,7,1,2011,2013,N/A,N/A,N/A
California,0,0,N/A,N/A,N/A,N/A,N/A
Colorado,2,1,2003,2014,2016,2018,2019
Connecticut,0,0,N/A,N/A,N/A,N/A,N/A
Delaware,4,1,2008,N/A,N/A,N/A,N/A
Florida,5,1,2013,2014,2016,2022,N/A
Georgia,5,1,2008,2009,2010,2023,N/A
Hawaii,3,1,2006,N/A,N/A,N/A,N/A
Idaho,6,1,2013,N/A,N/A,N/A,N/A
Illinois,0,0,N/A,N/A,N/A,N/A,N/A
Indiana,14,1,2011,2022,N/A,N/A,N/A
Iowa,6,1,2021,N/A,N/A,N/A,N/A
Kansas,9,1,2004,2012,2013,2023,N/A
Kentucky,10,1,2002,2005,2009,2022,N/A
Louisiana,5,1,2008,N/A,N/A,N/A,N/A
Maine,2,1,2011,2017,2023,2025,N/A
Maryland,0,0,N/A,N/A,N/A,N/A,N/A
Massachusetts,0,0,N/A,N/A,N/A,N/A,N/A
Michigan,0,0,N/A,N/A,N/A,N/A,N/A
Minnesota,1,1,2015,N/A,N/A,N/A,N/A
Mississippi,6,1,2012,N/A,N/A,N/A,N/A
Missouri,9,1,2012,N/A,N/A,N/A,N/A
Montana,3,1,2009,2015,2017,2019,N/A
Nebraska,6,1,2015,N/A,N/A,N/A,N/A
Nevada,0,0,N/A,N/A,N/A,N/A,N/A
New Hampshire,0,0,N/A,N/A,N/A,N/A,N/A
New Jersey,0,0,N/A,N/A,N/A,N/A,N/A
New Mexico,0,0,N/A,N/A,N/A,N/A,N/A
New York,3,1,2017,N/A,N/A,N/A,N/A
North Carolina,10,1,2005,2007,2013,2020,2023
North Dakota,7,1,2011,N/A,N/A,N/A,N/A
Ohio,1,1,2016,2026,N/A,N/A,N/A
Oklahoma,4,1,2013,N/A,N/A,N/A,N/A
Oregon,3,1,2015,N/A,N/A,N/A,N/A
Pennsylvania,7,1,2021,N/A,N/A,N/A,N/A
Rhode Island,0,0,N/A,N/A,N/A,N/A,N/A
South Carolina,5,1,2010,N/A,N/A,N/A,N/A
South Dakota,6,1,2010,2012,2022,N/A,N/A
Tennessee,3,1,2009,2020,N/A,N/A,N/A
Texas,4,1,2015,N/A,N/A,N/A,N/A
Utah,1,1,2015,2024,N/A,N/A,N/A
Vermont,3,1,2021,N/A,N/A,N/A,N/A
Virginia,3,1,2006,2008,2020,N/A,N/A
Washington,3,1,2017,N/A,N/A,N/A,N/A
West Virginia,5,1,2018,2022,2023,N/A,N/A
Wisconsin,2,1,2013,N/A,N/A,N/A,N/A
Wyoming,0,0,N/A,N/A,N/A,N/A,N/A
