Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES","COMMODITY TOTALS, RETAIL, HUMAN CONSUMPTION - OPERATIONS WITH SALES","COMMODITY TOTALS, OPERATIONS WITH SALES","COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $","COMMODITY TOTALS, RETAIL, HUMAN CONSUMPTION - SALES, MEASURED IN $","COMMODITY TOTALS, SALES, MEASURED IN $",Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",19,,19,,,,TOTAL,NOT SPECIFIED,19,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,83000,,83000,TOTAL,NOT SPECIFIED,"83,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",14,,14,,,,TOTAL,NOT SPECIFIED,14,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,31000,,31000,TOTAL,NOT SPECIFIED,"31,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",9,,9,,,,TOTAL,NOT SPECIFIED,9,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,57000,,57000,TOTAL,NOT SPECIFIED,"57,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",33,,33,,,,TOTAL,NOT SPECIFIED,33,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,158000,,158000,TOTAL,NOT SPECIFIED,"158,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",10,,10,,,,TOTAL,NOT SPECIFIED,10,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,157000,,157000,TOTAL,NOT SPECIFIED,"157,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",12,,12,,,,TOTAL,NOT SPECIFIED,12,24.8
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - SALES, MEASURED IN $",,,,9000,,9000,TOTAL,NOT SPECIFIED,"9,000",(L)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,,,0,,COMMODITY TOTALS,"COMMODITY TOTALS, INCL VALUE-ADDED, RETAIL, DIRECTLY MARKETED, HUMAN CONSUMPTION - OPERATIONS WITH SALES",5,,5,,,,TOTAL,NOT SPECIFIED,5,24.8
